OID_,id,X,Y
3655,3655,121.505676907364716,31.282858406677800
3656,3656,121.505589881939272,31.282694284259762
3657,3657,121.505502857874930,31.282530161756796
3658,3658,121.505415834122005,31.282366039181163
3659,3659,121.505328810680382,31.282201916532919
3660,3660,121.505241787550133,31.282037793812023
3661,3661,121.505154764716835,31.281873670116877
3662,3662,121.505067742209135,31.281709547250713
3663,3663,121.504980720012824,31.281545424311894
3664,3664,121.504893698127816,31.281381301300463
3665,3665,121.504806675504284,31.281217178228669
