OID_,id,X,Y
2619,2619,121.505608121376056,31.277078600079143
2988,2988,121.505883784956978,31.277267053603939
2989,2989,121.506048068413364,31.277379362239351
2990,2990,121.506212352270126,31.277491671551893
2991,2991,121.506376636498800,31.277603979738331
2992,2992,121.506540921113697,31.277716287700308
2993,2993,121.506705206114773,31.277828595437786
2994,2994,121.506869491516383,31.277940903852393
2995,2995,121.507033777289848,31.278053211140900
2996,2996,121.507198063463861,31.278165519106519
2997,2997,121.507362350009714,31.278277825946031
3175,3175,121.507556632133642,31.278410638667133
3176,3176,121.507720918486982,31.278522945930590
3177,3177,121.507885206276299,31.278635252957208
3178,3178,121.508049494437500,31.278747558857720
3179,3179,121.508213782999235,31.278859865435333
3180,3180,121.508378070897407,31.278972171800753
3181,3181,121.508542360231559,31.279084477929331
3182,3182,121.508706649951961,31.279196783833392
3183,3183,121.508870939008759,31.279309089525256
3184,3184,121.509035229501578,31.279421394980268
3185,3185,121.509199519330807,31.279533700223087
3186,3186,121.509363810581689,31.279646004327436
3187,3187,121.509528102233162,31.279758309108864
3188,3188,121.509692394270843,31.279870613665757
3201,3201,121.503960511452362,31.278414734360855
3202,3202,121.504121764447191,31.278299229515497
3203,3203,121.504283017031881,31.278183723576596
3204,3204,121.504444269220627,31.278068217445728
3205,3205,121.504605521027798,31.277952712024536
3206,3206,121.504766772424745,31.277837205509776
3207,3207,121.504928022376035,31.277721698815398
3208,3208,121.505089274030993,31.277606191904461
3209,3209,121.505250523204921,31.277490685727816
3210,3210,121.505411773018338,31.277375178445315
3211,3211,121.505573022435883,31.277259670970899
3212,3212,121.503943434589459,31.278661346108024
3213,3213,121.504087612538441,31.278792451209132
3214,3214,121.504231790901599,31.278923557034673
3215,3215,121.504375968614895,31.279054662695348
3216,3216,121.504520146728126,31.279185768178849
3217,3217,121.504664326276767,31.279316872571275
3218,3218,121.504809161141253,31.279447430753045
3219,3219,121.504958396908961,31.279574288607776
3220,3220,121.505112096551628,31.279696783477466
3221,3221,121.505281752345340,31.279803031413810
3222,3222,121.505457123560504,31.279902140392437
3223,3223,121.505638358650089,31.279993212283564
3302,3302,121.502714566815797,31.279200373896700
3303,3303,121.502897629057713,31.279112040301293
3304,3304,121.503080296593254,31.279023204269514
3305,3305,121.503244393122543,31.278910689983213
3306,3306,121.503408489272957,31.278798176399352
3307,3307,121.503572585016059,31.278685661714704
3308,3308,121.503736680380300,31.278573147732516
3336,3336,121.505898865578686,31.279917243559520
3337,3337,121.506029264601324,31.279775894181068
