streetview_id,landuse_id,road_id,road_sequence,point_sequence
3348.0,3524.0,603.0,2,1
3348.0,3368.0,603.0,5,15
3349.0,3524.0,603.0,2,2
3349.0,3368.0,603.0,5,14
3350.0,3524.0,603.0,2,3
3350.0,3368.0,603.0,5,13
3351.0,3524.0,603.0,2,4
3351.0,3368.0,603.0,5,12
3352.0,3524.0,603.0,2,5
3352.0,3368.0,603.0,5,11
3353.0,3524.0,603.0,2,6
3353.0,3368.0,603.0,5,10
3354.0,3524.0,603.0,2,7
3354.0,3368.0,603.0,5,9
3355.0,3524.0,603.0,2,8
3355.0,3368.0,603.0,5,8
3356.0,3524.0,603.0,2,9
3356.0,3368.0,603.0,5,7
3357.0,3524.0,603.0,2,10
3357.0,3368.0,603.0,5,6
3358.0,3524.0,603.0,2,11
3358.0,3368.0,603.0,5,5
3359.0,3524.0,603.0,2,12
3359.0,3368.0,603.0,5,4
3360.0,3524.0,603.0,2,13
3360.0,3368.0,603.0,5,3
3361.0,3524.0,603.0,2,14
3361.0,3368.0,603.0,5,2
3362.0,3524.0,603.0,2,15
3362.0,3368.0,603.0,5,1
3486.0,3511.0,619.0,1,1
3486.0,3368.0,619.0,1,7
3487.0,3511.0,619.0,1,2
3487.0,3368.0,619.0,1,6
3488.0,3511.0,619.0,1,3
3488.0,3368.0,619.0,1,5
3489.0,3511.0,619.0,1,4
3489.0,3368.0,619.0,1,4
3490.0,3511.0,619.0,1,5
3490.0,3368.0,619.0,1,3
3491.0,3511.0,619.0,1,6
3491.0,3368.0,619.0,1,2
3492.0,3524.0,619.0,1,1
3492.0,3368.0,619.0,1,1
3655.0,3365.0,634.0,1,1
3655.0,3368.0,634.0,2,11
3656.0,3365.0,634.0,1,2
3656.0,3368.0,634.0,2,10
3657.0,3365.0,634.0,1,3
3657.0,3368.0,634.0,2,9
3658.0,3365.0,634.0,1,4
3658.0,3368.0,634.0,2,8
3659.0,3365.0,634.0,1,5
3659.0,3368.0,634.0,2,7
3660.0,3365.0,634.0,1,6
3660.0,3368.0,634.0,2,6
3661.0,3365.0,634.0,1,7
3661.0,3368.0,634.0,2,5
3662.0,3365.0,634.0,1,8
3662.0,3368.0,634.0,2,4
3663.0,3365.0,634.0,1,9
3663.0,3368.0,634.0,2,3
3664.0,3365.0,634.0,1,10
3664.0,3368.0,634.0,2,2
3665.0,3365.0,634.0,1,11
3665.0,3368.0,634.0,2,1
3666.0,3368.0,635.0,3,1
3666.0,3289.0,635.0,1,3
3667.0,3368.0,635.0,3,2
3667.0,3289.0,635.0,1,2
3668.0,3368.0,635.0,3,3
3668.0,3289.0,635.0,1,1
3669.0,3368.0,635.0,3,4
3669.0,3099.0,635.0,1,4
3670.0,3368.0,635.0,3,5
3670.0,3099.0,635.0,1,3
3671.0,3368.0,635.0,3,6
3671.0,3099.0,635.0,1,2
3672.0,3368.0,635.0,3,7
3672.0,3099.0,635.0,1,1
3704.0,3368.0,640.0,4,1
3704.0,3348.0,640.0,1,12
3705.0,3368.0,640.0,4,2
3705.0,3348.0,640.0,1,11
3706.0,3368.0,640.0,4,3
3706.0,3348.0,640.0,1,10
3707.0,3368.0,640.0,4,4
3707.0,3348.0,640.0,1,9
3708.0,3368.0,640.0,4,5
3708.0,3348.0,640.0,1,8
3709.0,3368.0,640.0,4,6
3709.0,3348.0,640.0,1,7
3710.0,3368.0,640.0,4,7
3710.0,3348.0,640.0,1,6
3711.0,3368.0,640.0,4,8
3711.0,3348.0,640.0,1,5
3712.0,3368.0,640.0,4,9
3712.0,3348.0,640.0,1,4
3713.0,3368.0,640.0,4,10
3713.0,3348.0,640.0,1,3
3714.0,3368.0,640.0,4,11
3714.0,3348.0,640.0,1,2
3715.0,3368.0,640.0,4,12
3715.0,3348.0,640.0,1,1
